pais,codigo_pais,anio,gasto_educacion_pib,tasa_alfabetizacion_adultos,tasa_finalizacion_primaria,tasa_finalizacion_secundaria
Argentina,ARG,2000,4.58031,,,
Argentina,ARG,2001,4.83374,97.19331,,
Argentina,ARG,2002,4.01734,,,
Argentina,ARG,2003,3.53505,,,
Argentina,ARG,2004,3.48652,,,
Argentina,ARG,2005,3.86001,,,
Argentina,ARG,2006,4.12821,98.6108,,
Argentina,ARG,2007,4.4626,,,
Argentina,ARG,2008,4.84441,,,
Argentina,ARG,2009,5.53105,98.98342,,
Argentina,ARG,2010,5.01971,98.95497,92.26296,74.09815
Argentina,ARG,2011,5.29063,99.10833,,
Argentina,ARG,2012,5.34583,99.10523,,
Argentina,ARG,2013,5.43661,99.12195,,
Argentina,ARG,2014,5.36144,98.99389,,
Argentina,ARG,2015,5.77611,99.17996,,
Argentina,ARG,2016,5.54549,99.12501,,
Argentina,ARG,2017,5.46223,,,
Argentina,ARG,2018,,99.00387,,
Brazil,BRA,2000,3.94893,86.36788,,
Brazil,BRA,2001,3.84468,,89.75,66.76
Brazil,BRA,2002,3.75037,,90.93,69.49
Brazil,BRA,2003,,,92.26,72.88
Brazil,BRA,2004,3.97448,88.61624,92.79,74.51
Brazil,BRA,2005,4.47908,,93.44,76.04
Brazil,BRA,2006,4.8706,89.61523,94.1,78.12
Brazil,BRA,2007,4.97426,90.00937,93.74,78.64
Brazil,BRA,2008,5.26884,90.03662,94.11,80.92
Brazil,BRA,2009,5.46355,90.29821,94.44,81.12
Brazil,BRA,2010,5.6488,90.37918,,
Brazil,BRA,2011,5.73741,91.41124,94.9,82.95
Brazil,BRA,2012,5.8551,91.33785,95.91,84.53
Brazil,BRA,2013,5.83885,91.48424,96.02,85.01
Brazil,BRA,2014,5.94848,91.72943,96.72,86.84
Brazil,BRA,2015,6.24106,92.0479,97.0,87.38
Brazil,BRA,2016,6.31404,92.80844,93.84,83.75
Brazil,BRA,2017,6.32255,93.07582,94.74,84.37
Brazil,BRA,2018,,93.2275,95.16,85.69
Chile,CHL,2000,3.77583,,94.4,90.29
Chile,CHL,2002,4.08121,95.71662,94.18533,92.11625
Chile,CHL,2003,3.96346,,96.42,93.98
Chile,CHL,2004,3.53839,,,
Chile,CHL,2005,3.26283,,,
Chile,CHL,2006,3.02153,,96.23,94.07
Chile,CHL,2007,3.21379,,,
Chile,CHL,2008,3.79243,97.72245,,
Chile,CHL,2009,4.23065,97.66423,96.59,94.43
Chile,CHL,2010,4.16209,96.8186,,
Chile,CHL,2011,4.04519,96.70301,96.34,94.24
Chile,CHL,2013,4.52943,96.26706,95.88,94.49
Chile,CHL,2014,4.73095,,,
Chile,CHL,2015,4.87531,96.87413,96.7,95.05
Chile,CHL,2016,5.34201,,,
Chile,CHL,2017,5.41946,96.40228,96.3,95.9
Costa Rica,CRI,2000,4.68696,94.86819,82.69,44.5
Costa Rica,CRI,2001,4.8511,,82.89,46.96
Costa Rica,CRI,2002,5.17354,,84.82,49.4
Costa Rica,CRI,2003,5.15636,,87.58,50.29
Costa Rica,CRI,2004,4.91218,,89.7,51.47
Costa Rica,CRI,2005,,,90.63,50.82
Costa Rica,CRI,2006,4.63918,,89.83,52.93
Costa Rica,CRI,2007,4.6589,,90.92,53.35
Costa Rica,CRI,2008,4.91712,,91.16,58.66
Costa Rica,CRI,2009,6.04635,,91.95,59.78
Costa Rica,CRI,2010,6.63445,,91.22,61.49
Costa Rica,CRI,2011,6.45535,97.40658,93.54096,64.28467
Costa Rica,CRI,2012,6.68984,,93.41,63.19
Costa Rica,CRI,2013,6.84934,,93.44,64.56
Costa Rica,CRI,2014,6.86952,,94.51,66.57
Costa Rica,CRI,2015,7.08254,,94.7,68.2
Costa Rica,CRI,2016,7.09768,,95.33,68.95
Costa Rica,CRI,2017,7.31572,,96.15,68.2
Costa Rica,CRI,2018,6.97857,97.86379,96.31,73.47
Costa Rica,CRI,2019,7.04876,,,
"Korea, Rep.",KOR,2008,,97.96594,,
"Korea, Rep.",KOR,2016,4.3331,,,
Mexico,MEX,2000,3.99244,90.53562,90.86,67.16
Mexico,MEX,2001,4.24104,,,
Mexico,MEX,2002,4.45496,90.27465,92.07,73.5
Mexico,MEX,2003,5.07258,,,
Mexico,MEX,2004,4.72671,90.95374,92.51,74.64
Mexico,MEX,2005,4.84569,91.63027,,
Mexico,MEX,2006,4.69992,91.73452,94.39,77.71
Mexico,MEX,2007,4.69051,92.79517,,
Mexico,MEX,2008,4.82007,92.9256,95.01,79.86
Mexico,MEX,2009,5.18794,93.44188,,
Mexico,MEX,2010,5.15922,93.06894,95.8,81.42
Mexico,MEX,2011,5.10565,93.51998,,
Mexico,MEX,2012,5.1031,94.2284,96.45,84.82
Mexico,MEX,2013,4.69605,93.96285,,
Mexico,MEX,2014,5.26062,94.55588,96.44,86.28
Mexico,MEX,2015,5.23524,94.47228,,
Mexico,MEX,2016,4.90949,94.85962,96.4027,87.67088
Mexico,MEX,2017,4.52282,94.97278,,
Mexico,MEX,2018,,95.37991,97.88,88.56
Spain,ESP,2000,4.16605,,,
Spain,ESP,2001,4.11127,,,
Spain,ESP,2002,4.13457,,,
Spain,ESP,2003,4.17343,,,
Spain,ESP,2004,4.15786,97.16512,,
Spain,ESP,2005,4.14432,97.75069,,90.51
Spain,ESP,2006,4.18482,97.75214,,
Spain,ESP,2007,4.25405,97.93884,,
Spain,ESP,2008,4.52806,97.63061,,
Spain,ESP,2009,4.912,97.67927,,
Spain,ESP,2010,4.85608,97.7489,,
Spain,ESP,2011,4.89692,97.78375,,90.36
Spain,ESP,2012,4.46934,97.89454,,
Spain,ESP,2013,4.35102,98.07913,,90.61
Spain,ESP,2014,4.30338,98.09372,,93.3
Spain,ESP,2015,4.28657,98.14326,,
Spain,ESP,2016,4.22764,98.25051,,
Spain,ESP,2017,4.20774,,,
Spain,ESP,2018,,98.4365,,
United States,USA,2010,,,99.67774,98.32961
United States,USA,2013,4.93105,,99.34,98.55
United States,USA,2014,4.96174,,,
United States,USA,2015,,,99.73084,98.75433
United States,USA,2016,,,99.68895,98.8131
United States,USA,2017,,,99.7026,98.86367
Uruguay,URY,2000,2.42255,,,
Uruguay,URY,2001,2.80096,,,
Uruguay,URY,2002,2.3222,,,
Uruguay,URY,2003,2.06821,,,
Uruguay,URY,2004,2.49954,,,
Uruguay,URY,2005,2.71475,,,
Uruguay,URY,2006,2.88026,97.78963,,
Uruguay,URY,2007,,97.86389,,
