pais,codigo_pais,anio,indicador,valor
Argentina,ARG,2000,gasto_educacion_pib,4.58031
Argentina,ARG,2000,tasa_finalizacion_primaria,
Argentina,ARG,2000,tasa_finalizacion_secundaria,
Argentina,ARG,2000,tasa_alfabetizacion_adultos,
Brazil,BRA,2000,gasto_educacion_pib,3.94893
Brazil,BRA,2000,tasa_finalizacion_primaria,
Brazil,BRA,2000,tasa_finalizacion_secundaria,
Brazil,BRA,2000,tasa_alfabetizacion_adultos,86.36788
Chile,CHL,2000,gasto_educacion_pib,3.77583
Chile,CHL,2000,tasa_finalizacion_primaria,94.4
Chile,CHL,2000,tasa_finalizacion_secundaria,90.29
Chile,CHL,2000,tasa_alfabetizacion_adultos,
Costa Rica,CRI,2000,gasto_educacion_pib,4.68696
Costa Rica,CRI,2000,tasa_finalizacion_primaria,82.69
Costa Rica,CRI,2000,tasa_finalizacion_secundaria,44.5
Costa Rica,CRI,2000,tasa_alfabetizacion_adultos,94.86819
"Korea, Rep.",KOR,2000,gasto_educacion_pib,
"Korea, Rep.",KOR,2000,tasa_finalizacion_primaria,
"Korea, Rep.",KOR,2000,tasa_finalizacion_secundaria,
"Korea, Rep.",KOR,2000,tasa_alfabetizacion_adultos,
Mexico,MEX,2000,gasto_educacion_pib,3.99244
Mexico,MEX,2000,tasa_finalizacion_primaria,90.86
Mexico,MEX,2000,tasa_finalizacion_secundaria,67.16
Mexico,MEX,2000,tasa_alfabetizacion_adultos,90.53562
Spain,ESP,2000,gasto_educacion_pib,4.16605
Spain,ESP,2000,tasa_finalizacion_primaria,
Spain,ESP,2000,tasa_finalizacion_secundaria,
Spain,ESP,2000,tasa_alfabetizacion_adultos,
Viet Nam,VNM,2000,gasto_educacion_pib,
Viet Nam,VNM,2000,tasa_finalizacion_primaria,85.71
Viet Nam,VNM,2000,tasa_finalizacion_secundaria,51.31
Viet Nam,VNM,2000,tasa_alfabetizacion_adultos,90.15613
United States,USA,2000,gasto_educacion_pib,
United States,USA,2000,tasa_finalizacion_primaria,
United States,USA,2000,tasa_finalizacion_secundaria,
United States,USA,2000,tasa_alfabetizacion_adultos,
Uruguay,URY,2000,gasto_educacion_pib,2.42255
Uruguay,URY,2000,tasa_finalizacion_primaria,
Uruguay,URY,2000,tasa_finalizacion_secundaria,
Uruguay,URY,2000,tasa_alfabetizacion_adultos,
Argentina,ARG,2001,gasto_educacion_pib,4.83374
Argentina,ARG,2001,tasa_finalizacion_primaria,
Argentina,ARG,2001,tasa_finalizacion_secundaria,
Argentina,ARG,2001,tasa_alfabetizacion_adultos,97.19331
Brazil,BRA,2001,gasto_educacion_pib,3.84468
Brazil,BRA,2001,tasa_finalizacion_primaria,89.75
Brazil,BRA,2001,tasa_finalizacion_secundaria,66.76
Brazil,BRA,2001,tasa_alfabetizacion_adultos,
Chile,CHL,2001,gasto_educacion_pib,
Chile,CHL,2001,tasa_finalizacion_primaria,
Chile,CHL,2001,tasa_finalizacion_secundaria,
Chile,CHL,2001,tasa_alfabetizacion_adultos,
Costa Rica,CRI,2001,gasto_educacion_pib,4.8511
Costa Rica,CRI,2001,tasa_finalizacion_primaria,82.89
Costa Rica,CRI,2001,tasa_finalizacion_secundaria,46.96
Costa Rica,CRI,2001,tasa_alfabetizacion_adultos,
"Korea, Rep.",KOR,2001,gasto_educacion_pib,
"Korea, Rep.",KOR,2001,tasa_finalizacion_primaria,
"Korea, Rep.",KOR,2001,tasa_finalizacion_secundaria,
"Korea, Rep.",KOR,2001,tasa_alfabetizacion_adultos,
Mexico,MEX,2001,gasto_educacion_pib,4.24104
Mexico,MEX,2001,tasa_finalizacion_primaria,
Mexico,MEX,2001,tasa_finalizacion_secundaria,
Mexico,MEX,2001,tasa_alfabetizacion_adultos,
Spain,ESP,2001,gasto_educacion_pib,4.11127
Spain,ESP,2001,tasa_finalizacion_primaria,
Spain,ESP,2001,tasa_finalizacion_secundaria,
Spain,ESP,2001,tasa_alfabetizacion_adultos,
Viet Nam,VNM,2001,gasto_educacion_pib,
Viet Nam,VNM,2001,tasa_finalizacion_primaria,
Viet Nam,VNM,2001,tasa_finalizacion_secundaria,
Viet Nam,VNM,2001,tasa_alfabetizacion_adultos,
United States,USA,2001,gasto_educacion_pib,
United States,USA,2001,tasa_finalizacion_primaria,
United States,USA,2001,tasa_finalizacion_secundaria,
United States,USA,2001,tasa_alfabetizacion_adultos,
Uruguay,URY,2001,gasto_educacion_pib,2.80096
Uruguay,URY,2001,tasa_finalizacion_primaria,
Uruguay,URY,2001,tasa_finalizacion_secundaria,
Uruguay,URY,2001,tasa_alfabetizacion_adultos,
Argentina,ARG,2002,gasto_educacion_pib,4.01734
Argentina,ARG,2002,tasa_finalizacion_primaria,
Argentina,ARG,2002,tasa_finalizacion_secundaria,
Argentina,ARG,2002,tasa_alfabetizacion_adultos,
Brazil,BRA,2002,gasto_educacion_pib,3.75037
Brazil,BRA,2002,tasa_finalizacion_primaria,90.93
Brazil,BRA,2002,tasa_finalizacion_secundaria,69.49
Brazil,BRA,2002,tasa_alfabetizacion_adultos,
Chile,CHL,2002,gasto_educacion_pib,4.08121
Chile,CHL,2002,tasa_finalizacion_primaria,94.18533
Chile,CHL,2002,tasa_finalizacion_secundaria,92.11625
Chile,CHL,2002,tasa_alfabetizacion_adultos,95.71662
Costa Rica,CRI,2002,gasto_educacion_pib,5.17354
